Lactobacillus: Hypertension, Thyroid carcinoma, Infantile eczema, Major depressive disorder, Hepatocellular cancer, Coronary artery disease, Multiple Sclerosis, Alcoholism, Inflammatory Bowel Disease, Ankylosing spondylitis, Cholestasis, Hepatitis B, Type 1 Diabetes, Non-alcoholic fatty liver disease, Alzheimer's Disease, Primary sclerosing cholangitis, Autism spectrum disorders, Pancreatic cancer, Chronic kidney disease, Primary biliary cholangitis
Bacteroides dorei: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Obesity, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Catabacter hongkongensis: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Autism, Cystic Fibrosis, Cirrhosis, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Lactobacillus mucosae: Type 2 Diabetes, periodontitis, Caries, Parkinson's Disease, Colorectal cancer, Crohn's Disease, Obesity, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Irritable Bowel Syndrome, Autism, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, Oral cancer, Autism spectrum disorders
Papillibacter cinnamivorans: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Asthma, Uveitits, HIV infection, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Butiricimonas: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Enterobacter aerogenes: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Asthma, Uveitits, HIV infection, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Atopobium parvulum: Type 2 Diabetes, Crohn's Disease, Obesity, Parkinson's Disease, Cystic Fibrosis, Colorectal cancer, Caries, periodontitis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Asthma, Schizophrenia, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Autism, Rheumatoid Arthritis, Autism spectrum disorders, Oral cancer
Cloacibacillus: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, periodontitis, Caries, Ulcerative Colitis, Obesity, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Butyricicoccus: Cystic Fibrosis, Type 2 Diabetes, Cirrhosis, HIV infection, Obesity, Ulcerative Colitis, Rheumatoid Arthritis, Crohn's Disease, Psoriasis, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Systemic lupus erythematosus, Asthma, Parkinson's Disease, Oral cancer, Autism, Autism spectrum disorders, Schizophrenia, Chronic kidney disease, Smoking
Fusicatenibacter saccharivorans: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Autism, Obesity, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Uveitits, Breast cancer, Aerobic vaginitis
Clostridium oroticum: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Autism, Cystic Fibrosis, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Adlercreutzia: Type 2 Diabetes, Obesity, Cystic Fibrosis, HIV infection, Crohn's Disease, Cirrhosis, Parkinson's Disease, Psoriasis, periodontitis, Caries, Chronic Obstructive Pulmonary Disease, Irritable Bowel Syndrome, Ulcerative Colitis, Asthma, Colorectal cancer, Rheumatoid Arthritis, Aggressive periodontitis, Oral cancer, Systemic lupus erythematosus, Smoking
Prevotella jejuni: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Uveitits, Autism spectrum disorders, Aerobic vaginitis, Irritable Bowel Syndrome, Breast cancer
Edaphobacter aggregans: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Clostridium difficile associated disease, Autism spectrum disorders, Azoospermia
Bradyrhizobium: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Type 2 Diabetes, Crohn's Disease, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Aerobic vaginitis, Uveitits, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis
Eubacterium hallii: Obesity, Type 2 Diabetes, Cystic Fibrosis, HIV infection, Crohn's Disease, Cirrhosis, Chronic Obstructive Pulmonary Disease, Psoriasis, Parkinson's Disease, Irritable Bowel Syndrome, Rheumatoid Arthritis, Ulcerative Colitis, Asthma, Systemic lupus erythematosus, Caries, periodontitis, Oral cancer, Smoking, Colorectal cancer, Aggressive periodontitis
Bifidobacterium pseudocatenulatum: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Obesity, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, Autism, HIV infection, Asthma, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Collinsella aerofaciens: Type 2 Diabetes, Cystic Fibrosis, Obesity, Crohn's Disease, Parkinson's Disease, Caries, periodontitis, HIV infection, Psoriasis, Colorectal cancer, Cirrhosis, Ulcerative Colitis, Asthma, Irritable Bowel Syndrome, Schizophrenia, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer, Aggressive periodontitis, Autism
Blautia luti: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Aerobic vaginitis, Uveitits, Chronic Obstructive Pulmonary Disease
Lactobacillus jensenii: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, periodontitis, Caries, Ulcerative Colitis, Psoriasis, Obesity, Cystic Fibrosis, Schizophrenia, Cirrhosis, Asthma, HIV infection, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Mycoplasma hominis: Colorectal cancer, Parkinson's Disease, periodontitis, Caries, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Uveitits, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Ureaplasma parvum: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Uveitits, Cirrhosis, Autism, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Anaerococcus vaginalis: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Uveitits, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Finegoldia magna: Colorectal cancer, Parkinson's Disease, periodontitis, Caries, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Uveitits, Aerobic vaginitis, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Breast cancer
Ureaplasma: periodontitis, Type 2 Diabetes, Caries, Parkinson's Disease, Colorectal cancer, Crohn's Disease, Obesity, Psoriasis, Ulcerative Colitis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Aggressive periodontitis, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aerobic vaginitis
Lactobacillus vaginalis: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Obesity, Psoriasis, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Staphylococcus pasteuri: Colorectal cancer, periodontitis, Parkinson's Disease, Caries, Type 2 Diabetes, Crohn's Disease, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Uveitits, Aerobic vaginitis, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis
Lactobacillus delbrueckii: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Clostridium difficile associated disease
Enterococcus hirae: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Cystic Fibrosis, Aerobic vaginitis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Mycoplasma genitalium: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Uveitits, Cirrhosis, Autism, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Sediminibacterium: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Aerobic vaginitis, Uveitits, Chronic Obstructive Pulmonary Disease
Nitrososphaera: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Uveitits, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Erysipelotrichia: Parkinson's Disease, Colorectal cancer, Type 2 Diabetes, Crohn's Disease, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Aerobic vaginitis, Uveitits, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis
Mitsuokella multacida: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Aerobic vaginitis, Rheumatoid Arthritis
Prevotella buccae: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Phascolarctobacterium succinatutens: Type 2 Diabetes, Crohn's Disease, Colorectal cancer, Parkinson's Disease, periodontitis, Caries, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Rheumatoid Arthritis
Mycobacterium tuberculosis: Parkinson's Disease, Type 2 Diabetes, Colorectal cancer, Crohn's Disease, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Shigella sonnei: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Achromobacter: Type 2 Diabetes, Parkinson's Disease, Colorectal cancer, periodontitis, Crohn's Disease, Caries, Ulcerative Colitis, Obesity, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, Asthma, HIV infection, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis, Aerobic vaginitis, Chronic Obstructive Pulmonary Disease
Mageeibacillus indolicus: Colorectal cancer, Parkinson's Disease, periodontitis, Caries, Type 2 Diabetes, Crohn's Disease, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis
Rhodocyclaceae: Type 2 Diabetes, Parkinson's Disease, Colorectal cancer, Crohn's Disease, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Cystic Fibrosis, Schizophrenia, Cirrhosis, Asthma, Autism, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Brevibacillus: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Armatimonadetes: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Autism, Cystic Fibrosis, Cirrhosis, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Candidatus brocadia: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Autism, Cystic Fibrosis, Cirrhosis, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Sulfuricella: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Autism, Cystic Fibrosis, Cirrhosis, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Thauera: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Geothrix: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Uveitits, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Dyella: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Autism, Cystic Fibrosis, Cirrhosis, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Listeriaceae: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Bacillaceae: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Uveitits, Cirrhosis, Autism, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Desulfovibrionaceae: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Hydrogenophilaceae: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Uveitits, Cirrhosis, Cystic Fibrosis, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Hyphomicrobiaceae: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Clostridium XIVb: Type 2 Diabetes, Parkinson's Disease, periodontitis, Crohn's Disease, Colorectal cancer, Caries, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, Oral cancer
Mitsuokella: Cystic Fibrosis, Chronic Obstructive Pulmonary Disease, Obesity, HIV infection, Type 2 Diabetes, Smoking, Systemic lupus erythematosus, Rheumatoid Arthritis, Cirrhosis, Irritable Bowel Syndrome, Oral cancer, Psoriasis, Crohn's Disease, Aggressive periodontitis, Asthma, Sj?gren Syndrome, Parkinson's Disease, Behcet's Disease, Caries, Chronic kidney disease
